"시점","구분(1)",구분(2),데이터
"2013.01","전라북도",도평균,72
"2013.01","전라남도",도평균,48
"2013.01","경상북도",도평균,66
"2013.01","경상남도",도평균,61
"2013.01","제주특별자치도",도평균,42
"2013.02","서울특별시",서울특별시,45
"2013.02","대구광역시",대구광역시,50
"2013.02","인천광역시",인천광역시,50
"2013.02","광주광역시",광주광역시,40
"2013.02","대전광역시",대전광역시,47
"2013.02","울산광역시",울산광역시,46
"2013.02","경기도",도평균,53
"2013.02","강원도",도평균,56
"2013.02","충청북도",도평균,64
"2013.02","충청남도",도평균,43
"2013.02","전라북도",도평균,57
"2013.02","전라남도",도평균,36
"2013.02","경상북도",도평균,52
"2013.02","경상남도",도평균,48
"2013.02","제주특별자치도",도평균,34
"2013.03","서울특별시",서울특별시,55
"2013.03","대구광역시",대구광역시,60
"2013.03","인천광역시",인천광역시,58
"2013.03","광주광역시",광주광역시,59
"2013.03","대전광역시",대전광역시,54
"2013.03","울산광역시",울산광역시,64
"2013.03","경기도",도평균,65
"2013.03","강원도",도평균,68
"2013.03","충청북도",도평균,78
"2013.03","충청남도",도평균,51
"2013.03","전라북도",도평균,67
"2013.03","전라남도",도평균,53
"2013.03","경상북도",도평균,67
"2013.03","경상남도",도평균,63
"2013.03","제주특별자치도",도평균,54
"2013.04","서울특별시",서울특별시,52
"2013.04","대구광역시",대구광역시,45
"2013.04","인천광역시",인천광역시,59
"2013.04","광주광역시",광주광역시,46
"2013.04","대전광역시",대전광역시,48
"2013.04","울산광역시",울산광역시,46
"2013.04","경기도",도평균,63
"2013.04","강원도",도평균,57
"2013.04","충청북도",도평균,65
"2013.04","충청남도",도평균,51
"2013.04","전라북도",도평균,59
"2013.04","전라남도",도평균,40
"2013.04","경상북도",도평균,52
"2013.04","경상남도",도평균,47
"2013.04","제주특별자치도",도평균,42
"2013.05","서울특별시",서울특별시,55
"2013.05","대구광역시",대구광역시,52
"2013.05","인천광역시",인천광역시,60
"2013.05","광주광역시",광주광역시,57
"2013.05","대전광역시",대전광역시,53
"2013.05","울산광역시",울산광역시,59
"2013.05","경기도",도평균,66
"2013.05","강원도",도평균,60
"2013.05","충청북도",도평균,67
"2013.05","충청남도",도평균,55
"2013.05","전라북도",도평균,62
