자치구,성별,연령대,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,연령대_1,월
종로구,1,35,1.7,2.3,53.5,565.9,2.8,6715.2,19.41,0.1,114.4,14.2,21.1,6.6,10.9,34.6,12.2,844608.6,247469.3,954.6,447.2,15.3,55.4,132.9,131.9,31.3,0.1,-0.1,10.3,4.0,1.7,30,2
종로구,1,45,1.7,2.2,64.8,534.2,1.9,6361.1,19.9,0.1,126.1,18.3,21.6,6.9,8.2,35.7,12.3,854233.0,263951.8,980.7,452.2,14.4,50.8,109.9,115.8,27.9,0.0,-0.3,9.8,4.2,1.7,40,2
종로구,1,50,1.6,2.1,61.6,551.6,2.7,5716.3,18.52,0.0,112.1,18.7,23.3,7.2,5.9,34.4,11.9,871164.6,273871.7,978.5,431.1,13.9,45.4,91.7,103.1,25.0,-0.1,-0.5,9.0,4.4,1.7,50,2
종로구,1,60,1.8,2.2,69.2,519.1,2.5,6507.9,20.65,-0.1,77.4,13.9,18.1,6.0,2.7,34.7,12.6,938220.7,271101.1,956.6,451.3,14.2,41.5,53.2,55.3,16.0,-0.1,-0.6,10.3,1.7,0.0,60,2
종로구,1,70,1.7,1.6,0.0,0.0,1.7,8866.7,22.62,-0.1,55.8,12.1,13.6,4.0,1.0,25.2,8.5,1026629.9,318945.0,538.3,220.3,10.4,34.0,17.7,21.7,11.2,-0.3,-0.6,7.5,3.3,0.0,70,2
종로구,1,75,1.5,1.0,0.0,0.0,0.0,5333.3,16.67,-0.2,42.7,7.8,10.0,3.2,0.7,16.3,7.1,1229591.4,374665.9,303.0,149.3,9.0,27.2,24.2,30.1,11.3,-0.5,-0.7,1.7,0.0,0.0,70,2
종로구,2,25,1.9,3.0,58.9,565.4,2.5,6771.9,13.13,0.1,99.0,10.3,11.0,4.4,11.2,29.3,12.5,935487.1,262177.7,682.3,417.2,13.4,35.5,85.3,128.6,29.2,0.1,-0.1,12.4,2.6,1.7,20,2
종로구,2,30,1.9,2.7,54.2,527.6,2.9,5268.0,23.26,0.0,95.5,11.3,12.7,5.1,7.1,25.9,11.0,997714.6,282691.6,534.2,344.2,12.1,35.8,96.4,135.8,24.8,0.0,-0.2,11.9,2.1,1.7,30,2
종로구,2,35,1.8,2.3,53.3,537.2,2.4,5572.3,18.27,0.0,105.0,14.0,16.3,6.2,7.7,27.4,11.0,961439.9,267191.2,512.2,358.3,10.8,30.1,100.2,152.7,23.5,0.0,-0.1,10.6,3.7,1.7,30,2
종로구,2,40,1.7,2.4,54.4,496.6,2.5,5937.1,16.74,0.0,117.6,13.8,16.4,6.2,4.6,25.2,10.5,1013886.5,282548.7,520.4,366.2,10.3,33.2,86.3,132.1,22.8,0.0,-0.3,9.0,3.1,1.7,40,2
종로구,2,45,1.6,2.3,61.2,517.3,2.3,6036.2,22.94,-0.1,132.5,20.8,16.8,6.5,3.7,23.1,9.1,1049051.5,295284.8,568.9,326.4,9.5,33.9,67.5,110.2,18.1,-0.1,-0.4,8.5,2.9,1.7,40,2
종로구,2,50,1.6,2.4,62.6,496.7,2.4,7523.8,15.18,-0.1,132.4,17.2,15.4,6.1,2.5,26.5,9.3,1038125.3,304831.6,524.9,345.4,9.5,32.4,60.6,87.1,15.1,-0.1,-0.5,7.2,3.1,1.7,50,2
종로구,2,60,1.7,2.6,56.9,490.2,2.1,7303.0,13.93,-0.1,115.0,13.8,14.4,4.8,1.6,23.6,8.7,1070005.6,316376.5,418.0,263.0,7.7,35.0,33.8,53.0,12.0,-0.2,-0.6,4.9,3.3,1.7,60,2
